participant,condition_1,condition_2,condition_3,condition_4,relation_1,relation_2,relation_3,relation_4
1,4,2,1,3,1,4,3,2
2,2,3,4,1,3,1,2,4
3,3,1,2,4,2,3,4,1
4,1,4,3,2,4,2,1,3
5,4,2,1,3,1,4,3,2
6,2,3,4,1,3,1,2,4
7,3,1,2,4,2,3,4,1
8,1,4,3,2,4,2,1,3
9,4,2,1,3,1,4,3,2
10,2,3,4,1,3,1,2,4
11,3,1,2,4,2,3,4,1
12,1,4,3,2,4,2,1,3
13,4,2,1,3,1,4,3,2
14,2,3,4,1,3,1,2,4
15,3,1,2,4,2,3,4,1
16,1,4,3,2,4,2,1,3
17,4,2,1,3,1,4,3,2
18,2,3,4,1,3,1,2,4
19,3,1,2,4,2,3,4,1
20,1,4,3,2,4,2,1,3
21,4,2,1,3,1,4,3,2
22,2,3,4,1,3,1,2,4
23,3,1,2,4,2,3,4,1
24,1,4,3,2,4,2,1,3
25,4,2,1,3,1,4,3,2
26,2,3,4,1,3,1,2,4
27,3,1,2,4,2,3,4,1
28,1,4,3,2,4,2,1,3
29,4,2,1,3,1,4,3,2
30,2,3,4,1,3,1,2,4
31,3,1,2,4,2,3,4,1
32,1,4,3,2,4,2,1,3
33,4,2,1,3,1,4,3,2
34,2,3,4,1,3,1,2,4
35,3,1,2,4,2,3,4,1
36,1,4,3,2,4,2,1,3
37,4,2,1,3,1,4,3,2
38,2,3,4,1,3,1,2,4
39,3,1,2,4,2,3,4,1
40,1,4,3,2,4,2,1,3
41,4,2,1,3,1,4,3,2
42,2,3,4,1,3,1,2,4
43,3,1,2,4,2,3,4,1
44,1,4,3,2,4,2,1,3
45,4,2,1,3,1,4,3,2
46,2,3,4,1,3,1,2,4
47,3,1,2,4,2,3,4,1
48,1,4,3,2,4,2,1,3
49,4,2,1,3,1,4,3,2
50,2,3,4,1,3,1,2,4
51,3,1,2,4,2,3,4,1
52,1,4,3,2,4,2,1,3
