participant,condition,p1,p2,p3,relation,move,click,completation_time
1,desktop3D,0,4,2,P2 > P3 > P1,0,1,3.733667
1,desktop3D,4,2,2,P1 > P2 = P3,0,3,16.61187
1,desktop2D,4,4,3,P2 = P1 > P3,59.10489,2,11.90994
1,desktop2D,5,1,2,P1 > P3 > P2,57.83775,4,18.29347
1,headset3D,1,1,3,P3 > P1 = P2,16.32909,11,88.12
1,headset3D,3,2,4,P3 > P1 > P2,30.45675,2,5.719994
1,headset2D,4,2,4,P3 = P1 > P2,32.3207,10,22.72703
1,headset2D,4,1,4,P1 = P3 > P2,53.02048,6,38.1651
2,desktop3D,5,5,1,P2 = P1 > P3,0,34,94.29626
2,desktop3D,3561,7,77,P1 > P3 > P2,0,10,28.33008
2,desktop2D,4,12,6,P2 > P3 > P1,0,3,14.03141
2,desktop2D,44,8,8,P1 > P2 = P3,0,3,7.343281
2,headset2D,3,3,4014,P3 > P1 = P2,0.2599959,7,18.53804
2,headset2D,87,11,264,P3 > P1 > P2,0.2599969,4,11.02458
2,headset3D,8,3,8,P3 = P1 > P2,57.30563,18,31.02
2,headset3D,4,1,4,P1 = P3 > P2,42.33443,8,19.18
3,desktop2D,3,3,2,P2 = P1 > P3,63.25991,1,2.577229
3,desktop2D,10,0,4,P1 > P3 > P2,15.73473,6,36.99959
3,desktop3D,1,11,2,P2 > P3 > P1,122.4396,1,5.364288
3,desktop3D,26,0,0,P1 > P2 = P3,48.91961,3,11.18131
3,headset2D,2,1,2,P3 = P1 > P2,22.69194,11,121.7588
3,headset2D,3,1,3,P1 = P3 > P2,13.32026,7,50.71208
3,headset3D,1,1,14,P3 > P1 = P2,97.98727,6,18.32
3,headset3D,7,2,29,P3 > P1 > P2,96.13435,4,8.940002
4,desktop2D,1,7,5,P2 > P3 > P1,17.59999,3,37.76494
4,desktop2D,21,31,2,P1 > P2 = P3,0,2,13.83552
4,desktop3D,4,4,3,P2 = P1 > P3,32.30912,2,7.726962
4,desktop3D,105,2,9,P1 > P3 > P2,29.23307,3,12.26213
4,headset3D,3,1,3,P3 = P1 > P2,56.06683,8,16.16
4,headset3D,7,1,7,P1 = P3 > P2,54.64264,5,9.719997
4,headset2D,1,1,3,P3 > P1 = P2,0.259995,5,15.13739
4,headset2D,3,2,18,P3 > P1 > P2,0.2599945,6,26.53784
5,desktop3D,218,608,3353,P2 > P3 > P1,53.40583,4,19.92394
5,desktop3D,25,4,4,P1 > P2 = P3,106.7953,34,136.0681
5,desktop2D,4,4,3,P2 = P1 > P3,0,2,6.019986
5,desktop2D,14,2,3,P1 > P3 > P2,0,3,7.48658
5,headset3D,330,329,389,P3 > P1 = P2,76.4475,119,342.9
5,headset3D,1096,218,6801,P3 > P1 > P2,31.00247,6,24.78
5,headset2D,5,2,5,P3 = P1 > P2,16.59085,7,20.93122
5,headset2D,3,1,3,P1 = P3 > P2,17.74789,6,19.11605
6,desktop3D,975,15257,1767,P2 = P1 > P3,0,16,69.82433
6,desktop3D,1852,490,1785,P1 > P3 > P2,85.81883,24,190.9142
6,desktop2D,2201,817,1047,P2 > P3 > P1,0,13,60.09737
6,desktop2D,1203,2445,13300,P1 > P2 = P3,0,3,9.171921
6,headset2D,1286,1552,42641,P3 > P1 = P2,47.22224,18,74.65266
6,headset2D,798,1620,1558,P3 > P1 > P2,17.62099,10,34.15097
6,headset3D,784,899,1510,P3 = P1 > P2,53.97852,12,25.34
6,headset3D,4713,3842,280,P1 = P3 > P2,30.06451,11,28.62
7,desktop2D,3,3,1,P2 = P1 > P3,0,1,1.793284
7,desktop2D,3,1,2,P1 > P3 > P2,0,5,25.84001
7,desktop3D,1,4,2,P2 > P3 > P1,0,3,11.16005
7,desktop3D,5,3,3,P1 > P2 = P3,0,3,11.4203
7,headset2D,1,0,1,P3 = P1 > P2,27.71277,17,24.33749
7,headset2D,1,0,1,P1 = P3 > P2,15.46389,7,33.44525
7,headset3D,1,1,7,P3 > P1 = P2,13.41762,15,9.5
7,headset3D,6,4,10,P3 > P1 > P2,19.25895,8,15.08
8,desktop2D,0,4,1,P2 > P3 > P1,0,8,54.56719
8,desktop2D,6,2,2,P1 > P2 = P3,0,3,39.47572
8,desktop3D,3,3,2,P2 = P1 > P3,107.8372,3,14.40719
8,desktop3D,27,1,2,P1 > P3 > P2,49.19213,4,7.242168
8,headset3D,3,1,3,P3 = P1 > P2,58.77084,16,51.42
8,headset3D,2,0,2,P1 = P3 > P2,69.81741,10,106.88
8,headset2D,1,1,9,P3 > P1 = P2,0.2599978,20,58.90147
8,headset2D,4,1,41,P3 > P1 > P2,0.2599959,5,20.12714
9,desktop3D,1,4,2,P2 > P3 > P1,41.51741,2,6.151321
9,desktop3D,22,2,2,P1 > P2 = P3,34.38477,2,7.875996
9,desktop2D,3,3,2,P2 = P1 > P3,5.956073,3,13.23015
9,desktop2D,26,2,4,P1 > P3 > P2,0,2,7.677773
9,headset3D,1,1,5,P3 > P1 = P2,40.86004,9,78.75999
9,headset3D,4,3,5,P3 > P1 > P2,16.18583,6,13.88
9,headset2D,5,2,5,P3 = P1 > P2,19.85658,7,8.267077
9,headset2D,3,1,3,P1 = P3 > P2,18.95134,7,12.13646
10,desktop3D,5,5,3,P2 = P1 > P3,0,2,5.571201
10,desktop3D,6,2,4,P1 > P3 > P2,0,2,16.39939
10,desktop2D,0,2,1,P2 > P3 > P1,31.41067,1,1.799175
10,desktop2D,2,1,1,P1 > P2 = P3,0,1,4.405031
10,headset2D,0,0,1,P3 > P1 = P2,58.58881,10,8.921421
10,headset2D,6,3,48,P3 > P1 > P2,3.353632,3,7.978165
10,headset3D,4,0,4,P3 = P1 > P2,67.89446,7,54.28
10,headset3D,2,0,2,P1 = P3 > P2,45.86763,4,14.44
11,desktop2D,23,23,7,P2 = P1 > P3,47.34713,5,58.10767
11,desktop2D,15,5,12,P1 > P3 > P2,15.81583,3,14.36585
11,desktop3D,2,12,8,P2 > P3 > P1,32.50517,3,15.32423
11,desktop3D,23,23,9,P1 > P2 = P3,97.64864,4,18.68089
11,headset2D,5,2,5,P3 = P1 > P2,77.45546,16,85.96593
11,headset2D,4,2,4,P1 = P3 > P2,10.46183,8,31.77902
11,headset3D,18,36,35,P3 > P1 = P2,46.4022,6,25.88
11,headset3D,16,7,25,P3 > P1 > P2,28.21596,8,15.62
12,desktop2D,1,3,2,P2 > P3 > P1,0,3,9.318216
12,desktop2D,3,1,1,P1 > P2 = P3,0,1,6.203777
12,desktop3D,3,3,2,P2 = P1 > P3,0,1,2.926996
12,desktop3D,5,2,3,P1 > P3 > P2,61.94269,2,8.977947
12,headset3D,2,1,2,P3 = P1 > P2,63.4472,1,0
12,headset3D,2,1,2,P1 = P3 > P2,48.89856,6,21.3
12,headset2D,0,0,1,P3 > P1 = P2,27.10603,2,2.806675
12,headset2D,3,2,4,P3 > P1 > P2,18.82075,5,26.94594
13,desktop3D,4,10,7,P2 > P3 > P1,82.59589,4,15.61545
13,desktop3D,5,9,5,P1 > P2 = P3,64.33276,4,16.01698
13,desktop2D,15,15,3,P2 = P1 > P3,0,2,19.26156
13,desktop2D,20,5,10,P1 > P3 > P2,0,3,17.49115
13,headset3D,9,9,879,P3 > P1 = P2,150.2555,20,97.86
13,headset3D,9,8,15,P3 > P1 > P2,53.61708,6,30.20001
13,headset2D,10,3,10,P3 = P1 > P2,74.25081,8,44.56661
13,headset2D,12,3,12,P1 = P3 > P2,37.71166,0,38.42306
14,desktop3D,6,5,2,P2 = P1 > P3,0,11,124.7503
14,desktop3D,4,1,2,P1 > P3 > P2,0,4,46.40179
14,desktop2D,3,13,10,P2 > P3 > P1,0,3,19.96466
14,desktop2D,30,4,5,P1 > P2 = P3,0,3,13.72365
14,headset2D,0,0,1,P3 > P1 = P2,0.259995,5,42.47007
14,headset2D,4,1,5,P3 > P1 > P2,0.259995,9,31.04977
14,headset3D,6,2,6,P3 = P1 > P2,42.05877,4,15.48
14,headset3D,3,1,3,P1 = P3 > P2,36.15741,6,27.82
15,desktop2D,3,3,1,P2 = P1 > P3,0,1,3.379388
15,desktop2D,12,1,2,P1 > P3 > P2,0,9,79.32759
15,desktop3D,1,6,2,P2 > P3 > P1,0,17,101.1904
15,desktop3D,2,1,1,P1 > P2 = P3,0,3,19.30446
15,headset2D,4,2,4,P3 = P1 > P2,4.317905,8,30.55492
15,headset2D,1,0,1,P1 = P3 > P2,0.2599998,4,16.6226
15,headset3D,1,1,10,P3 > P1 = P2,8.11831,15,135.76
15,headset3D,2,3,6,P3 > P1 > P2,23.29261,2,6.699997
16,desktop2D,0,2,1,P2 > P3 > P1,0,6,53.70839
16,desktop2D,2,1,1,P1 > P2 = P3,0,3,31.28268
16,desktop3D,4,4,2,P2 = P1 > P3,54.79994,4,15.07215
16,desktop3D,2,4,3,P1 > P3 > P2,50.98687,4,31.75126
16,headset3D,3,2,3,P3 = P1 > P2,181.2727,29,132.22
16,headset3D,2,1,2,P1 = P3 > P2,91.77447,11,69.30002
16,headset2D,0,0,1,P3 > P1 = P2,38.69071,6,38.87712
16,headset2D,4,3,6,P3 > P1 > P2,33.05482,9,49.29983
17,desktop3D,0,7,1,P2 > P3 > P1,175.1793,7,72.07137
17,desktop3D,2,1,1,P1 > P2 = P3,53.97273,7,24.7828
17,desktop2D,3,3,2,P2 = P1 > P3,0,1,1.574774
17,desktop2D,1,0,1,P1 > P3 > P2,0,1,3.627781
17,headset3D,0,0,1,P3 > P1 = P2,116.7973,5,49.08
17,headset3D,2,1,3,P3 > P1 > P2,34.97679,3,19.22
17,headset2D,3,1,3,P3 = P1 > P2,27.42607,4,17.11654
17,headset2D,7,1,7,P1 = P3 > P2,23.47413,7,17.44649
18,desktop3D,3,3,2,P2 = P1 > P3,54.65326,1,3.140337
18,desktop3D,61,2,11,P1 > P3 > P2,33.02276,4,10.6594
18,desktop2D,1,39,2,P2 > P3 > P1,77.30417,2,3.921125
18,desktop2D,7,2,2,P1 > P2 = P3,33.33912,2,4.307209
18,headset2D,1,1,8,P3 > P1 = P2,39.05691,7,13.09091
18,headset2D,8,3,41,P3 > P1 > P2,23.46751,5,8.572674
18,headset3D,3,2,3,P3 = P1 > P2,44.07741,2,3
18,headset3D,1,0,1,P1 = P3 > P2,74.01299,5,24.86
19,desktop2D,3,3,2,P2 = P1 > P3,44.79456,1,4.67659
19,desktop2D,4,2,3,P1 > P3 > P2,72.82849,5,15.40737
19,desktop3D,1,4,2,P2 > P3 > P1,45.65392,3,10.05565
19,desktop3D,10,2,2,P1 > P2 = P3,39.95332,2,6.217861
19,headset2D,4,3,4,P3 = P1 > P2,31.89989,10,19.28175
19,headset2D,4,1,4,P1 = P3 > P2,23.80952,9,31.61845
19,headset3D,3,3,895,P3 > P1 = P2,34.31007,4,11.96
19,headset3D,13,2,110,P3 > P1 > P2,35.10846,4,8.84
20,desktop2D,0,4,2,P2 > P3 > P1,67.20023,2,17.03578
20,desktop2D,4,1,1,P1 > P2 = P3,41.50016,10,89.99843
20,desktop3D,3,3,1,P2 = P1 > P3,37.3695,1,4.030804
20,desktop3D,9,2,4,P1 > P3 > P2,33.72027,2,6.794266
20,headset3D,2,7,2,P3 = P1 > P2,48.85861,9,49.5
20,headset3D,1,0,1,P1 = P3 > P2,34.95776,5,20.38
20,headset2D,1,1,4,P3 > P1 = P2,27.71012,8,12.00766
20,headset2D,4,3,7,P3 > P1 > P2,14.93518,4,16.28725
21,desktop3D,1,3,2,P2 > P3 > P1,72.7113,5,13.69471
21,desktop3D,2,1,1,P1 > P2 = P3,17.10004,2,3.408131
21,desktop2D,3,3,2,P2 = P1 > P3,116.798,3,23.00506
21,desktop2D,3,1,2,P1 > P3 > P2,33.20387,3,7.140987
21,headset3D,2,2,3,P3 > P1 = P2,301.4069,50,306.98
21,headset3D,2,1,3,P3 > P1 > P2,84.24957,7,41.20001
21,headset2D,3,2,3,P3 = P1 > P2,45.32749,9,10.81731
21,headset2D,2,1,2,P1 = P3 > P2,19.84899,3,4.153301
22,desktop3D,3,3,2,P2 = P1 > P3,16.92592,1,7.915398
22,desktop3D,7,1,4,P1 > P3 > P2,42.54669,3,15.09161
22,desktop2D,0,10341,53,P2 > P3 > P1,0,7,32.99237
22,desktop2D,30,0,0,P1 > P2 = P3,0,4,21.13976
22,headset2D,2,2,6509,P3 > P1 = P2,0.2599959,11,46.20325
22,headset2D,6,1,21,P3 > P1 > P2,0.2599959,4,14.84221
22,headset3D,6,3,6,P3 = P1 > P2,28.14785,5,23.54
22,headset3D,13,1,13,P1 = P3 > P2,53.35664,7,31
23,desktop2D,4,7,3,P2 = P1 > P3,0,5,16.46163
23,desktop2D,4,1,3,P1 > P3 > P2,0,4,19.07988
23,desktop3D,1,3,2,P2 > P3 > P1,0,7,19.52359
23,desktop3D,3,1,5,P1 > P2 = P3,27.63818,4,13.92738
23,headset2D,4,3,7,P3 = P1 > P2,132.8595,17,62.07015
23,headset2D,6,1,5,P1 = P3 > P2,183.7203,12,40.38347
23,headset3D,1,5,4,P3 > P1 = P2,168.9211,12,53.02
23,headset3D,3,2,6,P3 > P1 > P2,87.09778,4,21.41999
24,desktop2D,1,221,4,P2 > P3 > P1,141.6003,7,38.46534
24,desktop2D,25,3,3,P1 > P2 = P3,25.70003,6,28.88476
24,desktop3D,9,9,3,P2 = P1 > P3,19.41603,4,17.97655
24,desktop3D,31,6,17,P1 > P3 > P2,44.51444,3,19.29173
24,headset3D,10,1,10,P3 = P1 > P2,54.06959,16,48.62
24,headset3D,5,0,5,P1 = P3 > P2,24.98497,6,32.16
24,headset2D,18,18,23,P3 > P1 = P2,19.23894,10,53.99693
24,headset2D,4,3,5,P3 > P1 > P2,6.767499,4,11.38611
25,desktop3D,1,28,6,P2 > P3 > P1,37.67369,5,21.5494
25,desktop3D,282,1,1,P1 > P2 = P3,90.89034,2,13.53565
25,desktop2D,3,3,1,P2 = P1 > P3,83.53993,1,3.323561
25,desktop2D,159,2,34,P1 > P3 > P2,75.65534,4,22.54419
25,headset3D,1,1,15,P3 > P1 = P2,45.70326,4,14.46
25,headset3D,17,1,49,P3 > P1 > P2,45.36875,8,18.76
25,headset2D,3,0,3,P3 = P1 > P2,33.43307,2,3.052143
25,headset2D,1,0,1,P1 = P3 > P2,39.58942,4,9.996048
26,desktop3D,5,8,3,P2 = P1 > P3,0,3,24.38286
26,desktop3D,11,1,6,P1 > P3 > P2,0,5,33.66153
26,desktop2D,0,63,16,P2 > P3 > P1,0,2,12.98095
26,desktop2D,419,2,2,P1 > P2 = P3,0,2,5.981373
